Word,Phonetic,Meanings,Examples
affectionate,əˈfɛkʃ(ə)nət,"adjective - readily feeling or showing fondness or tenderness. ","his affectionate nature;"

affection,əˈfɛkʃ(ə)n,"noun - a gentle feeling of fondness or liking. the action or process of affecting or being affected. ","she felt affection for the wise old lady;null;"

affliction,əˈflɪkʃ(ə)n,"noun - a cause of pain or harm. ","a crippling affliction of the nervous system;"

afford,əˈfɔːd,"verb - have enough money to pay for. provide or supply (an opportunity or facility). ","the best that I could afford was a first-floor room;the rooftop terrace affords beautiful views;"

afford,əˈfɔːd,"verb - have enough money to pay for. provide or supply (an opportunity or facility). ","the best that I could afford was a first-floor room;the rooftop terrace affords beautiful views;"

Afghan,ˈafɡan,"noun - a native or inhabitant of Afghanistan, or a person of Afghan descent. another term for Pashto. a woollen blanket or shawl, typically one knitted or crocheted in strips or squares. short for Afghan coat or Afghan hound. adjective - relating to Afghanistan, its people, or their language. ","null;null;null;null;null;"

afraid,əˈfreɪd,"adjective - feeling fear or anxiety; frightened. ","I'm afraid of dogs;"

after,ˈɑːftə,"preposition - in the time following (an event or another period of time). behind. in pursuit or quest of. next to and following in order or importance. in allusion to (someone or something with the same or a related name). conjunction - during the period of time following an event. adverb - at a later or future time; afterwards. adjective - later. nearer the stern of a ship. ","shortly after their marriage they moved to Colorado;she went out, shutting the door after her;they're chasing after something that doesn't exist;in their order of priorities health comes after housing;they named her Pauline, after Barbara's mother;bath time ended in a flood after the taps were left running;Duke Frederick died soon after;he was sorry in after years;the after cabin;"

afternoon,ɑːftəˈnuːn,"noun - the time from noon or lunchtime to evening. adverb - in the afternoon; every afternoon. exclamation - short for good afternoon. ","I telephoned this afternoon;null;null;"

afterwards,ˈɑːftəwədz,"adverb - at a later or future time. ","the offender was arrested shortly afterwards;"

again,əˈɡɛn,"adverb - another time; once more. ","it was great to meet old friends again;"

against,əˈɡɛnst,"preposition - in opposition to. in anticipation of and preparation for (a problem or difficulty). in or into physical contact with (something), so as to be supported by or collide with it. in conceptual contrast to. ","the fight against crime;he gritted his teeth against the pain;she stood with her back against the door;the benefits must be weighed against the costs;"

age,eɪdʒ,"noun - the length of time that a person has lived or a thing has existed. a distinct period of history. verb - grow old or older. ","he died from a heart attack at the age of 51;an age of technological growth;the tiredness we feel as we age;"
-age,ɪdʒ,"suffix - forming nouns denoting an action. forming nouns denoting denoting an aggregate or number of. forming nouns denoting a place or abode. ","leverage;mileage;vicarage;"

aged,null,"adjective - having lived for a specified length of time; of a specified age. having lived or existed for a long time; very old. having been subjected to ageing. ","young people aged 14 to 18;aged men with white hair;replica guitar with aged finish;"
age,eɪdʒ,"verb - grow old or older. ","the tiredness we feel as we age;"

agency,ˈeɪdʒ(ə)nsi,"noun - a business or organization providing a particular service on behalf of another business, person, or group. action or intervention producing a particular effect. ","an advertising agency;canals carved by the agency of running water;"

agent,ˈeɪdʒ(ə)nt,"noun - a person who acts on behalf of another person or group. a person or thing that takes an active role or produces a specified effect. ","in the event of illness, a durable power of attorney enabled her nephew to act as her agent;these teachers view themselves as agents of social change;"

agitated,ˈadʒɪteɪtɪd,"adjective - feeling or appearing troubled or nervous. ","there's no point getting agitated;"
agitate,ˈadʒɪteɪt,"verb - make (someone) troubled or nervous. stir or disturb (something, especially a liquid) briskly. campaign to arouse public concern about an issue in the hope of prompting action. ","the thought of questioning Toby agitated him extremely;agitate the water to disperse the oil;they agitated for a reversal of the decision;"

ago,əˈɡəʊ,"adverb - before the present; earlier (used with a measurement of time). ","he went five minutes ago;"

agony,ˈaɡəni,"noun - extreme physical or mental suffering. ","he crashed to the ground in agony;"

agony,ˈaɡəni,"noun - extreme physical or mental suffering. ","he crashed to the ground in agony;"

agree,əˈɡriː,"verb - have the same opinion about something; concur. say that one will do something which has been suggested by another person. be consistent with. (of food, conditions, etc.) be healthy or appropriate for (someone). ","I completely agree with your recent editorial;she had agreed to go and see a movie with him;your body language does not agree with what you are saying;she's eaten something that didn't agree with her;"
